created_at,entry_id,field1,field2,field3,field4
2018-11-06 19:48:32 UTC,291702,0,35.8,27.875,25.062
2018-11-06 19:48:49 UTC,291703,0,35.8,27.875,25.062
2018-11-06 19:49:18 UTC,291704,0,35.8,27.875,25.125
2018-11-06 19:49:49 UTC,291705,0,35.8,27.812,25.125
2018-11-06 19:50:18 UTC,291706,0,35.8,27.812,25.125
2018-11-06 19:50:50 UTC,291707,0,35.8,27.687,25.062
2018-11-06 19:51:19 UTC,291708,0,36.9,27.75,25.062
2018-11-06 19:51:48 UTC,291709,0,36.3,27.687,25.062
2018-11-06 19:52:05 UTC,291710,0,36.9,27.687,25.062
2018-11-06 19:52:32 UTC,291711,0,36.9,27.625,25.062
2018-11-06 19:52:49 UTC,291712,0,37.4,27.625,25.062
2018-11-06 19:53:20 UTC,291713,0,37.9,27.625,25.125
2018-11-06 19:53:50 UTC,291714,0,37.4,27.625,25.062
2018-11-06 19:54:18 UTC,291715,0,36.9,27.687,25.062
2018-11-06 19:54:48 UTC,291716,0,37.9,27.625,25.062
2018-11-06 19:55:17 UTC,291717,0,36.9,27.625,25.125
2018-11-06 19:55:33 UTC,291718,0,37.9,27.625,25.125
2018-11-06 19:55:48 UTC,291719,0,37.4,27.625,25.062
2018-11-06 19:56:17 UTC,291720,0,37.4,27.625,25.062
2018-11-06 19:56:33 UTC,291721,0,37.9,27.625,25.062
2018-11-06 19:56:48 UTC,291722,0,37.9,27.625,25.062
2018-11-06 19:57:19 UTC,291723,0,37.4,27.625,25.125
2018-11-06 19:57:49 UTC,291724,0,36.9,27.625,25.125
2018-11-06 19:58:04 UTC,291725,0,37.4,27.625,25.125
2018-11-06 19:58:33 UTC,291726,0,36.9,27.625,25.125
2018-11-06 19:58:50 UTC,291727,0,36.9,27.625,25.125
2018-11-06 19:59:19 UTC,291728,0,37.9,27.625,25.125
2018-11-06 19:59:49 UTC,291729,0,37.4,27.625,25.125
2018-11-06 20:00:18 UTC,291730,0,37.4,27.625,25.125
2018-11-06 20:00:34 UTC,291731,0,37.4,27.625,25.125
2018-11-06 20:00:50 UTC,291732,0,36.9,27.625,25.125
2018-11-06 20:01:17 UTC,291733,0,36.9,27.625,25.125
2018-11-06 20:01:49 UTC,291734,0,36.9,27.625,25.125
2018-11-06 20:02:17 UTC,291735,0,37.4,27.625,25.125
2018-11-06 20:02:34 UTC,291736,0,36.9,27.562,25.125
2018-11-06 20:02:49 UTC,291737,0,37.4,27.562,25.125
2018-11-06 20:03:04 UTC,291738,0,37.9,27.562,25.125
2018-11-06 20:03:32 UTC,291739,0,37.4,27.562,25.125
2018-11-06 20:03:49 UTC,291740,0,36.9,27.562,25.125
2018-11-06 20:04:17 UTC,291741,0,37.9,27.562,25.125
2018-11-06 20:04:32 UTC,291742,0,37.4,27.5,25.125
2018-11-06 20:04:50 UTC,291743,0,36.9,27.5,25.125
2018-11-06 20:05:18 UTC,291744,0,37.9,27.5,25.125
2018-11-06 20:05:50 UTC,291745,0,37.4,27.5,25.125
2018-11-06 20:07:06 UTC,291746,0,36.3,27.437,25.125
2018-11-06 20:07:22 UTC,291747,0,37.4,27.5,25.125
2018-11-06 20:07:37 UTC,291748,0,36.9,27.5,25.125
2018-11-06 20:07:53 UTC,291749,0,36.9,27.5,25.125
2018-11-06 20:08:09 UTC,291750,0,37.4,27.5,25.125
2018-11-06 20:08:43 UTC,291751,0,36.9,27.562,25.125
2018-11-06 20:09:07 UTC,291752,0,36.3,27.562,25.125
2018-11-06 20:09:22 UTC,291753,0,36.9,27.562,25.125
2018-11-06 20:09:51 UTC,291754,0,35.8,27.562,25.125
2018-11-06 20:10:06 UTC,291755,0,35.8,27.562,25.125
2018-11-06 20:10:26 UTC,291756,0,36.3,27.562,25.125
2018-11-06 20:10:46 UTC,291757,0,35.8,27.562,25.125
2018-11-06 20:11:07 UTC,291758,0,35.8,27.562,25.125
2018-11-06 20:11:23 UTC,291759,0,35.8,27.5,25.125
2018-11-06 20:11:51 UTC,291760,0,35.8,27.437,25.125
2018-11-06 20:12:08 UTC,291761,0,35.8,27.437,25.125
2018-11-06 20:12:26 UTC,291762,0,35.8,27.437,25.125
2018-11-06 20:12:51 UTC,291763,0,35.8,27.375,25.125
2018-11-06 20:13:07 UTC,291764,0,35.8,27.375,25.125
2018-11-06 20:13:24 UTC,291765,0,35.8,27.375,25.125
2018-11-06 20:13:51 UTC,291766,0,35.2,27.375,25.125
2018-11-06 20:14:22 UTC,291767,0,35.8,27.375,25.125
2018-11-06 20:14:52 UTC,291768,0,35.8,27.437,25.125
2018-11-06 20:15:22 UTC,291769,0,35.2,27.375,25.125
2018-11-06 20:15:51 UTC,291770,0,35.2,27.437,25.125
2018-11-06 20:16:22 UTC,291771,0,35.8,27.437,25.125
2018-11-06 20:16:52 UTC,291772,0,35.8,27.437,25.125
2018-11-06 20:17:08 UTC,291773,0,35.8,27.437,25.125
2018-11-06 20:17:36 UTC,291774,0,35.8,27.5,25.125
2018-11-06 20:17:53 UTC,291775,0,35.8,27.5,25.125
2018-11-06 20:18:21 UTC,291776,0,35.8,27.5,25.125
2018-11-06 20:18:37 UTC,291777,0,35.8,27.5,25.125
2018-11-06 20:19:07 UTC,291778,0,35.2,27.437,25.125
2018-11-06 20:19:37 UTC,291779,0,35.8,27.5,25.125
2018-11-06 20:20:09 UTC,291780,0,35.2,27.5,25.125
